job_id,title,company,location,salary_min,salary_max,salary_raw,experience_years,skills_raw,education,posted_date,source,salary_avg,has_sql,has_power_bi,has_excel,has_python,has_tableau,has_fabric,has_etl,has_dashboard,has_statistics,exp_bucket,salary_bucket
BDJ-1015,Data Analyst - Power BI,Rokomari,Dhaka,,,Negotiable,2,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-09,linkedin,,1,0,1,1,1,0,0,0,0,Mid (2-3),Negotiable
BDJ-1016,Data Analyst - Power BI,BRAC Bank,Dhaka,,,Negotiable,1,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-29,careerjet,,1,0,1,0,0,0,1,1,0,Fresher (0-1),Negotiable
BDJ-1017,BI Analyst,Banglalink,Dhaka,50000.0,60000.0,Tk. 50000-60000,5,"SQL, Power BI, Excel",MSc,2026-08-07,careerjet,55000.0,1,1,1,0,0,0,0,0,0,Senior (4+),50-70k
BDJ-1018,Growth Data Analyst,Pathao,Dhaka,,,Negotiable,0,"Excel, SQL, Dashboard, ETL",MSc,2026-08-16,linkedin,,1,0,1,0,0,0,1,1,0,Fresher (0-1),Negotiable
BDJ-1019,MIS Executive,Grameenphone,Dhaka,,,Negotiable,4,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-09-03,careerjet,,1,1,0,1,0,0,0,0,1,Senior (4+),Negotiable
BDJ-1020,MIS Executive,Grameenphone,Dhaka,,,Negotiable,1,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-08-21,careerjet,,1,1,0,1,0,0,0,0,1,Fresher (0-1),Negotiable
BDJ-1021,BI Analyst,BRAC Bank,Dhaka,25000.0,40000.0,Tk. 25000-40000,1,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-09-01,bdjobs,32500.0,1,1,0,1,0,0,0,0,1,Fresher (0-1),25-35k
BDJ-1022,MIS Executive,Well Group,Dhaka,18000.0,28000.0,Tk. 18000-28000,1,"SQL, Power BI, Excel",MSc,2026-09-13,bdjobs,23000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),15-25k
BDJ-1023,Data Analyst,Rokomari,Dhaka,18000.0,33000.0,Tk. 18000-33000,3,"SQL, Power BI, Excel",MSc,2026-09-08,careerjet,25500.0,1,1,1,0,0,0,0,0,0,Mid (2-3),25-35k
BDJ-1024,Growth Data Analyst,Pathao,Dhaka,35000.0,45000.0,Tk. 35000-45000,3,"Excel, SQL, Dashboard, ETL",MSc,2026-08-26,linkedin,40000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),35-50k
BDJ-1025,Junior Data Analyst,Rokomari,Dhaka,,,Negotiable,3,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-09-06,linkedin,,1,1,0,0,0,1,0,1,0,Mid (2-3),Negotiable
BDJ-1026,Business Intelligence Analyst,PalmPay,Remote,50000.0,60000.0,Tk. 50000-60000,2,"SQL, Python, Tableau, Excel",MSc,2026-09-08,bdjobs,55000.0,1,0,1,1,1,0,0,0,0,Mid (2-3),50-70k
BDJ-1027,Data Analyst - Power BI,Daraz,Dhaka,35000.0,45000.0,Tk. 35000-45000,4,"SQL, Excel, Power BI, Looker",MSc,2026-08-28,bdjobs,40000.0,1,1,1,0,0,0,0,0,0,Senior (4+),35-50k
BDJ-1028,Data Analyst,BRAC Bank,Dhaka,,,Negotiable,5,"Excel, SQL, Dashboard, ETL",MSc,2026-08-22,careerjet,,1,0,1,0,0,0,1,1,0,Senior (4+),Negotiable
BDJ-1029,MIS Executive,Well Group,Sylhet,,,Negotiable,2,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-08-23,careerjet,,1,0,1,0,0,0,1,1,0,Mid (2-3),Negotiable
BDJ-1030,BI Analyst,Rokomari,Remote,50000.0,70000.0,Tk. 50000-70000,2,"Power BI, Microsoft Fabric, SQL, Dashboard",BSc in CSE/Stats,2026-08-16,bdjobs,60000.0,1,1,0,0,0,1,0,1,0,Mid (2-3),50-70k
BDJ-1031,Growth Data Analyst,Banglalink,Dhaka,18000.0,28000.0,Tk. 18000-28000,3,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-08-11,linkedin,23000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),15-25k
BDJ-1032,Junior Data Analyst,Daraz,Dhaka,,,Negotiable,2,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-09-01,careerjet,,1,1,1,0,0,0,0,0,0,Mid (2-3),Negotiable
BDJ-1033,BI Analyst,BRAC Bank,Dhaka,,,Negotiable,2,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-09-01,bdjobs,,1,0,1,0,0,0,1,1,0,Mid (2-3),Negotiable
BDJ-1034,Sales Data Analyst,Rokomari,Chittagong,25000.0,45000.0,Tk. 25000-45000,2,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-09-14,linkedin,35000.0,1,1,0,0,0,1,0,1,0,Mid (2-3),35-50k
BDJ-1035,Data Analyst,Daraz,Dhaka,50000.0,65000.0,Tk. 50000-65000,4,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-26,careerjet,57500.0,1,1,0,1,0,0,0,0,1,Senior (4+),50-70k
BDJ-1036,Junior Data Analyst,Chaldal,Dhaka,50000.0,60000.0,Tk. 50000-60000,3,"SQL, Excel, Power BI, Looker",MSc,2026-08-27,linkedin,55000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),50-70k
BDJ-1037,Junior Data Analyst,Rokomari,Dhaka,50000.0,70000.0,Tk. 50000-70000,2,"SQL, Excel, Power BI, Looker",MSc,2026-08-12,careerjet,60000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),50-70k
BDJ-1038,Sales Data Analyst,Banglalink,Dhaka,,,Negotiable,1,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-08-30,bdjobs,,1,1,1,0,0,0,0,0,0,Fresher (0-1),Negotiable
BDJ-1039,Growth Data Analyst,Pathao,Dhaka,35000.0,55000.0,Tk. 35000-55000,1,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-09-15,linkedin,45000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),35-50k
BDJ-1040,MIS Executive,bKash,Sylhet,25000.0,45000.0,Tk. 25000-45000,0,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-09-06,careerjet,35000.0,1,1,0,0,0,1,0,1,0,Fresher (0-1),35-50k
BDJ-1041,Data Analyst - Power BI,Grameenphone,Dhaka,20000.0,40000.0,Tk. 20000-40000,5,"Excel, SQL, Dashboard, ETL",MSc,2026-09-10,careerjet,30000.0,1,0,1,0,0,0,1,1,0,Senior (4+),25-35k
BDJ-1042,Sales Data Analyst,Grameenphone,Dhaka,18000.0,38000.0,Tk. 18000-38000,3,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-09-01,bdjobs,28000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),25-35k
BDJ-1043,Sales Data Analyst,Well Group,Dhaka,40000.0,55000.0,Tk. 40000-55000,2,"SQL, Power BI, Excel",BBA/MBA,2026-09-06,bdjobs,47500.0,1,1,1,0,0,0,0,0,0,Mid (2-3),35-50k
BDJ-1044,Junior Data Analyst,Pathao,Chittagong,20000.0,30000.0,Tk. 20000-30000,3,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-03,bdjobs,25000.0,1,0,1,1,1,0,0,0,0,Mid (2-3),25-35k
BDJ-1045,Data Analyst,ACI,Dhaka,40000.0,60000.0,Tk. 40000-60000,2,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-08-04,careerjet,50000.0,1,1,0,1,0,0,0,0,1,Mid (2-3),50-70k
BDJ-1046,Growth Data Analyst,Banglalink,Chittagong,50000.0,70000.0,Tk. 50000-70000,1,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-08-11,bdjobs,60000.0,1,0,1,0,0,0,1,1,0,Fresher (0-1),50-70k
BDJ-1047,Data Analyst,Grameenphone,Dhaka,,,Negotiable,5,"SQL, Power BI, Excel",BSc in CSE/Stats,2026-08-10,linkedin,,1,1,1,0,0,0,0,0,0,Senior (4+),Negotiable
BDJ-1048,Growth Data Analyst,Foodpanda,Remote,18000.0,33000.0,Tk. 18000-33000,4,"Power BI, Microsoft Fabric, SQL, Dashboard",BBA/MBA,2026-08-19,careerjet,25500.0,1,1,0,0,0,1,0,1,0,Senior (4+),25-35k
BDJ-1049,Data Analyst - Power BI,Well Group,Dhaka,35000.0,55000.0,Tk. 35000-55000,1,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-09-01,bdjobs,45000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),35-50k
BDJ-1050,Business Intelligence Analyst,Banglalink,Dhaka,,,Negotiable,4,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-08-17,bdjobs,,1,0,1,0,0,0,1,1,0,Senior (4+),Negotiable
BDJ-1051,BI Analyst,bKash,Dhaka,,,Negotiable,3,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-05,linkedin,,1,0,1,1,1,0,0,0,0,Mid (2-3),Negotiable
BDJ-1052,Junior Data Analyst,bKash,Dhaka,,,Negotiable,5,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-19,careerjet,,1,0,1,0,0,0,1,1,0,Senior (4+),Negotiable
BDJ-1053,Business Intelligence Analyst,Foodpanda,Chittagong,,,Negotiable,2,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-08-22,careerjet,,1,1,0,0,0,1,0,1,0,Mid (2-3),Negotiable
BDJ-1054,Growth Data Analyst,ACI,Sylhet,25000.0,35000.0,Tk. 25000-35000,3,"SQL, Excel, Power BI, Looker",MSc,2026-08-12,linkedin,30000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),25-35k
BDJ-1055,Junior Data Analyst,bKash,Remote,50000.0,65000.0,Tk. 50000-65000,1,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-24,bdjobs,57500.0,1,0,1,1,1,0,0,0,0,Fresher (0-1),50-70k
BDJ-1056,Growth Data Analyst,Chaldal,Dhaka,18000.0,38000.0,Tk. 18000-38000,5,"Excel, SQL, Dashboard, ETL",MSc,2026-08-20,bdjobs,28000.0,1,0,1,0,0,0,1,1,0,Senior (4+),25-35k
BDJ-1057,Sales Data Analyst,Grameenphone,Dhaka,,,Negotiable,5,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-09-15,bdjobs,,1,0,1,0,0,0,1,1,0,Senior (4+),Negotiable
BDJ-1058,Data Analyst,Grameenphone,Dhaka,18000.0,28000.0,Tk. 18000-28000,5,"Excel, SQL, Dashboard, ETL",MSc,2026-09-13,careerjet,23000.0,1,0,1,0,0,0,1,1,0,Senior (4+),15-25k
BDJ-1059,Business Intelligence Analyst,bKash,Sylhet,50000.0,60000.0,Tk. 50000-60000,0,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-25,bdjobs,55000.0,1,1,0,1,0,0,0,0,1,Fresher (0-1),50-70k
BDJ-1060,Data Analyst - Power BI,Banglalink,Remote,18000.0,28000.0,Tk. 18000-28000,5,"SQL, Power BI, Excel",MSc,2026-09-01,bdjobs,23000.0,1,1,1,0,0,0,0,0,0,Senior (4+),15-25k
BDJ-1061,Sales Data Analyst,BRAC Bank,Dhaka,35000.0,50000.0,Tk. 35000-50000,1,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-05,careerjet,42500.0,1,0,1,1,1,0,0,0,0,Fresher (0-1),35-50k
BDJ-1062,Junior Data Analyst,Grameenphone,Chittagong,18000.0,33000.0,Tk. 18000-33000,0,"Python, SQL, Statistics, Power BI",MSc,2026-08-04,careerjet,25500.0,1,1,0,1,0,0,0,0,1,Fresher (0-1),25-35k
BDJ-1063,Growth Data Analyst,Grameenphone,Dhaka,25000.0,35000.0,Tk. 25000-35000,4,"SQL, Power BI, Excel",MSc,2026-08-13,careerjet,30000.0,1,1,1,0,0,0,0,0,0,Senior (4+),25-35k
BDJ-1064,Business Intelligence Analyst,Well Group,Dhaka,,,Negotiable,2,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-24,linkedin,,1,1,0,1,0,0,0,0,1,Mid (2-3),Negotiable
BDJ-1065,Data Analyst - Power BI,Pathao,Dhaka,18000.0,33000.0,Tk. 18000-33000,3,"SQL, Power BI, Excel",BBA/MBA,2026-08-15,bdjobs,25500.0,1,1,1,0,0,0,0,0,0,Mid (2-3),25-35k
BDJ-1066,Sales Data Analyst,Grameenphone,Dhaka,50000.0,60000.0,Tk. 50000-60000,5,"Excel, SQL, Dashboard, ETL",MSc,2026-09-03,careerjet,55000.0,1,0,1,0,0,0,1,1,0,Senior (4+),50-70k
BDJ-1067,Sales Data Analyst,Pathao,Dhaka,40000.0,50000.0,Tk. 40000-50000,1,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-13,careerjet,45000.0,1,0,1,0,0,0,1,1,0,Fresher (0-1),35-50k
BDJ-1068,Business Intelligence Analyst,ACI,Dhaka,50000.0,60000.0,Tk. 50000-60000,4,"Excel, SQL, Dashboard, ETL",MSc,2026-08-27,careerjet,55000.0,1,0,1,0,0,0,1,1,0,Senior (4+),50-70k
BDJ-1069,MIS Executive,Well Group,Dhaka,,,Negotiable,5,"SQL, Python, Tableau, Excel",BBA/MBA,2026-08-04,linkedin,,1,0,1,1,1,0,0,0,0,Senior (4+),Negotiable
BDJ-1070,Data Analyst,ACI,Dhaka,20000.0,35000.0,Tk. 20000-35000,0,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-08-19,bdjobs,27500.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),25-35k
BDJ-1071,Junior Data Analyst,Daraz,Dhaka,,,Negotiable,5,"SQL, Power BI, Excel",MSc,2026-08-25,careerjet,,1,1,1,0,0,0,0,0,0,Senior (4+),Negotiable
BDJ-1072,Junior Data Analyst,Grameenphone,Sylhet,20000.0,35000.0,Tk. 20000-35000,3,"Python, SQL, Statistics, Power BI",MSc,2026-08-10,linkedin,27500.0,1,1,0,1,0,0,0,0,1,Mid (2-3),25-35k
BDJ-1073,Data Analyst,bKash,Dhaka,,,Negotiable,2,"SQL, Python, Tableau, Excel",BSc in CSE/Stats,2026-08-21,bdjobs,,1,0,1,1,1,0,0,0,0,Mid (2-3),Negotiable
BDJ-1074,BI Analyst,Grameenphone,Dhaka,,,Negotiable,2,"SQL, Excel, Power BI, Looker",MSc,2026-08-15,careerjet,,1,1,1,0,0,0,0,0,0,Mid (2-3),Negotiable
BDJ-1075,Data Analyst - Power BI,PalmPay,Dhaka,50000.0,65000.0,Tk. 50000-65000,0,"Excel, SQL, Dashboard, ETL",MSc,2026-08-16,bdjobs,57500.0,1,0,1,0,0,0,1,1,0,Fresher (0-1),50-70k
BDJ-1076,Sales Data Analyst,bKash,Dhaka,20000.0,30000.0,Tk. 20000-30000,0,"SQL, Power BI, Excel",BBA/MBA,2026-09-07,bdjobs,25000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),25-35k
BDJ-1077,Growth Data Analyst,Well Group,Dhaka,35000.0,55000.0,Tk. 35000-55000,2,"SQL, Power BI, Excel",BSc in CSE/Stats,2026-09-13,linkedin,45000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),35-50k
BDJ-1078,Junior Data Analyst,Chaldal,Chittagong,50000.0,60000.0,Tk. 50000-60000,5,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-09-03,bdjobs,55000.0,1,1,0,0,0,1,0,1,0,Senior (4+),50-70k
BDJ-1079,Data Analyst,Pathao,Dhaka,20000.0,35000.0,Tk. 20000-35000,5,"SQL, Python, Tableau, Excel",MSc,2026-08-15,careerjet,27500.0,1,0,1,1,1,0,0,0,0,Senior (4+),25-35k
BDJ-1080,Junior Data Analyst,Rokomari,Dhaka,25000.0,45000.0,Tk. 25000-45000,3,"SQL, Excel, Power BI, Looker",MSc,2026-09-13,linkedin,35000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),35-50k
BDJ-1081,Sales Data Analyst,Chaldal,Dhaka,,,Negotiable,3,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-09-11,linkedin,,1,1,1,0,0,0,0,0,0,Mid (2-3),Negotiable
BDJ-1082,Data Analyst,ACI,Dhaka,35000.0,45000.0,Tk. 35000-45000,5,"Python, SQL, Statistics, Power BI",MSc,2026-08-11,careerjet,40000.0,1,1,0,1,0,0,0,0,1,Senior (4+),35-50k
BDJ-1083,Growth Data Analyst,Grameenphone,Dhaka,35000.0,55000.0,Tk. 35000-55000,3,"SQL, Python, Tableau, Excel",BBA/MBA,2026-09-01,bdjobs,45000.0,1,0,1,1,1,0,0,0,0,Mid (2-3),35-50k
BDJ-1084,Data Analyst - Power BI,Grameenphone,Remote,25000.0,35000.0,Tk. 25000-35000,1,"Python, SQL, Statistics, Power BI",MSc,2026-08-31,careerjet,30000.0,1,1,0,1,0,0,0,0,1,Fresher (0-1),25-35k
BDJ-1085,BI Analyst,ACI,Dhaka,50000.0,65000.0,Tk. 50000-65000,2,"SQL, Python, Tableau, Excel",BSc in CSE/Stats,2026-08-13,bdjobs,57500.0,1,0,1,1,1,0,0,0,0,Mid (2-3),50-70k
BDJ-1086,Business Intelligence Analyst,Well Group,Sylhet,50000.0,70000.0,Tk. 50000-70000,2,"Python, SQL, Statistics, Power BI",MSc,2026-08-29,careerjet,60000.0,1,1,0,1,0,0,0,0,1,Mid (2-3),50-70k
BDJ-1087,Growth Data Analyst,Daraz,Dhaka,20000.0,30000.0,Tk. 20000-30000,3,"SQL, Power BI, Excel",MSc,2026-08-24,bdjobs,25000.0,1,1,1,0,0,0,0,0,0,Mid (2-3),25-35k
BDJ-1088,Growth Data Analyst,ACI,Sylhet,50000.0,60000.0,Tk. 50000-60000,3,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-08,careerjet,55000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),50-70k
BDJ-1089,Data Analyst,bKash,Dhaka,18000.0,38000.0,Tk. 18000-38000,2,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-08-08,bdjobs,28000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),25-35k
BDJ-1090,Data Analyst - Power BI,PalmPay,Dhaka,20000.0,30000.0,Tk. 20000-30000,2,"SQL, Python, Tableau, Excel",BSc in CSE/Stats,2026-08-03,linkedin,25000.0,1,0,1,1,1,0,0,0,0,Mid (2-3),25-35k
BDJ-1091,Growth Data Analyst,Pathao,Dhaka,20000.0,40000.0,Tk. 20000-40000,5,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-04,bdjobs,30000.0,1,1,0,1,0,0,0,0,1,Senior (4+),25-35k
BDJ-1092,Data Analyst,bKash,Dhaka,20000.0,35000.0,Tk. 20000-35000,2,"Excel, SQL, Dashboard, ETL",MSc,2026-08-11,careerjet,27500.0,1,0,1,0,0,0,1,1,0,Mid (2-3),25-35k
BDJ-1093,Sales Data Analyst,BRAC Bank,Chittagong,20000.0,35000.0,Tk. 20000-35000,5,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-08-09,bdjobs,27500.0,1,0,1,0,0,0,1,1,0,Senior (4+),25-35k
BDJ-1094,Growth Data Analyst,Chaldal,Remote,,,Negotiable,5,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-08-16,linkedin,,1,1,0,0,0,1,0,1,0,Senior (4+),Negotiable
BDJ-1095,BI Analyst,PalmPay,Dhaka,35000.0,50000.0,Tk. 35000-50000,0,"SQL, Python, Tableau, Excel",MSc,2026-09-03,linkedin,42500.0,1,0,1,1,1,0,0,0,0,Fresher (0-1),35-50k
BDJ-1096,Growth Data Analyst,Grameenphone,Dhaka,50000.0,65000.0,Tk. 50000-65000,2,"SQL, Power BI, Excel",MSc,2026-09-09,careerjet,57500.0,1,1,1,0,0,0,0,0,0,Mid (2-3),50-70k
BDJ-1097,Business Intelligence Analyst,Foodpanda,Dhaka,,,Negotiable,4,"Python, SQL, Statistics, Power BI",MSc,2026-09-06,careerjet,,1,1,0,1,0,0,0,0,1,Senior (4+),Negotiable
BDJ-1098,Growth Data Analyst,Foodpanda,Chittagong,,,Negotiable,3,"SQL, Python, Tableau, Excel",MSc,2026-09-14,bdjobs,,1,0,1,1,1,0,0,0,0,Mid (2-3),Negotiable
BDJ-1099,BI Analyst,Daraz,Dhaka,,,Negotiable,3,"SQL, Power BI, Excel",BBA/MBA,2026-08-16,careerjet,,1,1,1,0,0,0,0,0,0,Mid (2-3),Negotiable
BDJ-1100,Junior Data Analyst,bKash,Remote,40000.0,50000.0,Tk. 40000-50000,1,"Power BI, Microsoft Fabric, SQL, Dashboard",BBA/MBA,2026-09-07,bdjobs,45000.0,1,1,0,0,0,1,0,1,0,Fresher (0-1),35-50k
BDJ-1101,Junior Data Analyst,Banglalink,Dhaka,40000.0,55000.0,Tk. 40000-55000,3,"SQL, Python, Tableau, Excel",BSc in CSE/Stats,2026-08-21,bdjobs,47500.0,1,0,1,1,1,0,0,0,0,Mid (2-3),35-50k
BDJ-1102,Sales Data Analyst,Well Group,Chittagong,20000.0,40000.0,Tk. 20000-40000,4,"SQL, Power BI, Excel",MSc,2026-09-13,careerjet,30000.0,1,1,1,0,0,0,0,0,0,Senior (4+),25-35k
BDJ-1103,Data Analyst,Banglalink,Dhaka,35000.0,45000.0,Tk. 35000-45000,5,"SQL, Excel, Power BI, Looker",BBA/MBA,2026-09-02,linkedin,40000.0,1,1,1,0,0,0,0,0,0,Senior (4+),35-50k
BDJ-1104,BI Analyst,Foodpanda,Dhaka,35000.0,55000.0,Tk. 35000-55000,0,"SQL, Power BI, Excel",BSc in CSE/Stats,2026-08-15,careerjet,45000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),35-50k
BDJ-1105,Junior Data Analyst,Grameenphone,Sylhet,18000.0,28000.0,Tk. 18000-28000,3,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-09-08,linkedin,23000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),15-25k
BDJ-1106,MIS Executive,Grameenphone,Dhaka,50000.0,60000.0,Tk. 50000-60000,3,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-13,linkedin,55000.0,1,1,0,1,0,0,0,0,1,Mid (2-3),50-70k
BDJ-1107,Business Intelligence Analyst,bKash,Dhaka,20000.0,30000.0,Tk. 20000-30000,5,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-09-09,bdjobs,25000.0,1,1,1,0,0,0,0,0,0,Senior (4+),25-35k
BDJ-1108,BI Analyst,BRAC Bank,Dhaka,,,Negotiable,5,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-18,careerjet,,1,0,1,0,0,0,1,1,0,Senior (4+),Negotiable
BDJ-1109,Business Intelligence Analyst,bKash,Remote,25000.0,40000.0,Tk. 25000-40000,0,"SQL, Python, Tableau, Excel",MSc,2026-08-30,bdjobs,32500.0,1,0,1,1,1,0,0,0,0,Fresher (0-1),25-35k
BDJ-1110,Sales Data Analyst,bKash,Chittagong,50000.0,65000.0,Tk. 50000-65000,5,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-09-12,bdjobs,57500.0,1,1,0,1,0,0,0,0,1,Senior (4+),50-70k
BDJ-1111,Data Analyst,Rokomari,Dhaka,40000.0,50000.0,Tk. 40000-50000,3,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-08,linkedin,45000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),35-50k
BDJ-1112,Growth Data Analyst,BRAC Bank,Dhaka,50000.0,65000.0,Tk. 50000-65000,3,"SQL, Power BI, Excel",BSc in CSE/Stats,2026-08-29,bdjobs,57500.0,1,1,1,0,0,0,0,0,0,Mid (2-3),50-70k
